ID,GT,Size,Purity,Ident
-1,3,50,100.0,0.0
0,28,50,100.0,44.37086092715232
1,16,49,100.0,46.666666666666664
2,30,50,100.0,42.00000000000001
3,0,4,100.0,44.666666666666664
4,12,49,100.0,45.6953642384106
5,11,50,100.0,44.666666666666664
6,21,49,100.0,46.666666666666664
7,8,50,100.0,43.99999999999999
8,37,50,100.0,43.333333333333336
9,1,49,100.0,43.333333333333336
10,10,46,100.0,46.0
11,36,50,100.0,45.09803921568627
12,34,50,100.0,43.99999999999999
13,15,50,100.0,47.333333333333336
14,33,49,100.0,43.99999999999999
15,46,48,100.0,43.333333333333336
16,32,50,100.0,48.66666666666667
17,17,50,100.0,40.666666666666664
18,13,50,100.0,47.019867549668874
19,40,50,100.0,42.666666666666664
20,45,50,100.0,45.333333333333336
21,20,49,100.0,47.333333333333336
22,14,50,100.0,47.36842105263158
23,4,47,100.0,42.666666666666664
24,26,50,100.0,42.00000000000001
25,25,50,100.0,45.333333333333336
26,48,49,100.0,43.99999999999999
27,9,50,100.0,44.666666666666664
28,44,50,100.0,47.019867549668874
29,18,50,100.0,50.0
30,38,50,100.0,43.99999999999999
31,35,50,100.0,49.33333333333333
32,22,50,100.0,50.0
33,6,50,100.0,44.666666666666664
34,24,9,100.0,45.333333333333336
35,31,50,100.0,46.05263157894737
36,2,49,100.0,43.99999999999999
37,41,50,100.0,44.37086092715232
38,7,48,100.0,46.666666666666664
39,19,50,100.0,40.39735099337748
40,29,50,100.0,43.70860927152318
41,49,50,100.0,46.35761589403974
42,27,50,100.0,45.333333333333336
43,0,46,100.0,48.66666666666667
44,5,50,100.0,46.0
45,42,50,100.0,48.66666666666667
46,23,12,100.0,47.333333333333336
47,39,50,100.0,43.99999999999999
48,43,50,100.0,47.019867549668874
49,24,40,100.0,41.333333333333336
50,47,50,100.0,44.666666666666664
51,23,38,100.0,46.35761589403974
52,46,2,100.0,46.666666666666664
53,10,4,100.0,47.333333333333336
54,4,3,100.0,44.666666666666664
55,7,2,100.0,48.0
